Run,Step,borrowed_books,continued_login_confirmation,student_login_status,borrowable_books,starting,guest_user_login_status
5,5,"{mk_book(mk_token(""book_A""), mk_token(""suzuki"")), mk_book(mk_token(""book_B""), mk_token(""sato""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}",{},{},{}
5,6,"{mk_book(mk_token(""book_A""), mk_token(""suzuki"")), mk_book(mk_token(""book_B""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_B"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_A"")}, true)}",{},{},{}
6,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
6,2,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}",{},{}
6,3,"{mk_book(mk_token(""book_A""), mk_token(""sato""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_B""), nil)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
6,4,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}","{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}","{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false)}",{}
6,5,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, false), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, false)}",{}
6,6,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},"{mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, false)}",{}
6,7,"{mk_book(mk_token(""book_A""), mk_token(""sato"")), mk_book(mk_token(""book_B""), mk_token(""suzuki""))}",{},"{mk_student(1, true, mk_token(""sato""), {mk_token(""book_A"")}, true), mk_student(2, true, mk_token(""suzuki""), {mk_token(""book_B"")}, true)}",{},{},{}
7,1,{},{},"{mk_student(1, true, mk_token(""sato""), {}, true), mk_student(2, true, mk_token(""suzuki""), {}, true)}","{mk_book(mk_token(""book_A""), nil), mk_book(mk_token(""book_B""), nil)}",{},{}
